<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CHDB2007,20210420,3.16,3.5,3.16,3.45,422300
CHDB2008,20210420,2.23,2.38,2.2,2.25,281300
CHDB2101,20210420,2.05,2.15,2.05,2.14,253500
CMBB2010,20210420,15.1,15.2,14.55,14.9,145600
CMBB2101,20210420,4.14,4.23,4.05,4.2,565800
CSTB2007,20210420,5.99,6.11,5.75,5.82,2116200
CSTB2010,20210420,5.59,5.69,5.4,5.5,491900
CSTB2014,20210420,11.0,11.22,10.63,10.8,312200
CSTB2016,20210420,4.42,4.49,4.13,4.2,176900
CSTB2017,20210420,7.2,7.4,7.0,7.0,256200
CSTB2101,20210420,3.08,3.16,3.0,3.12,307900
CSTB2102,20210420,6.2,6.7,6.1,6.5,227600
CSTB2103,20210420,3.8,4.0,3.5,3.92,715400
CTCB2012,20210420,20.1,20.5,19.6,19.77,341200
CTCB2013,20210420,18.8,18.8,18.2,18.5,174700
CTCB2101,20210420,14.6,14.65,14.0,14.35,90500
CTCB2102,20210420,5.43,5.45,5.21,5.35,339900
CTCB2103,20210420,5.7,5.94,5.5,5.76,619800
CVPB2011,20210420,12.75,12.75,12.75,12.75,6700
CVPB2015,20210420,24.35,24.5,23.69,23.69,144800
CVPB2016,20210420,22.73,22.73,22.73,22.73,76000
CVPB2101,20210420,7.1,7.3,6.94,7.05,138700
CVPB2102,20210420,7.3,7.45,7.15,7.17,22200
CVPB2103,20210420,7.3,7.76,7.3,7.42,173000
VPB,20210419,49.5,49.55,48.2,49.55,6235000
VIB,20210419,51.0,52.1,51.0,52.0,565800
VCB,20210419,97.0,98.5,95.8,98.5,1387500
TPB,20210419,28.0,28.3,27.4,28.3,4273500
TCB,20210419,40.8,41.7,40.0,41.6,11234400
SSB,20210419,27.35,27.5,27.1,27.5,886900
STB,20210419,22.3,22.9,22.0,22.9,29032100
OCB,20210419,24.0,24.3,23.8,24.3,3059800
MBB,20210419,30.45,30.8,29.95,30.5,13993700
MSB,20210419,22.15,22.35,21.8,22.35,4472300
LPB,20210419,19.2,19.5,18.95,19.4,13640800
HDB,20210419,27.3,27.3,26.65,27.3,3695000
EIB,20210419,26.3,27.25,26.2,27.1,1552000
CTG,20210419,42.2,42.5,41.3,42.5,16032000
ACB,20210419,33.5,33.75,32.8,33.7,4291900
BID,20210419,42.0,43.1,41.8,43.0,3194000
CHDB2007,20210419,3.35,3.41,3.24,3.41,94100
CHDB2008,20210419,2.35,2.35,2.07,2.23,52600
CHDB2101,20210419,1.99,2.1,1.91,2.05,57100
CMBB2010,20210419,14.85,15.2,14.2,14.92,81700
CMBB2101,20210419,4.15,4.15,3.99,4.13,202100
CSTB2007,20210419,5.6,5.99,5.55,5.99,1165900
CSTB2010,20210419,5.66,5.66,5.2,5.49,215400
CSTB2014,20210419,10.1,11.1,10.1,11.0,352900
CSTB2016,20210419,4.09,4.37,3.94,4.37,109200
CSTB2017,20210419,6.44,7.2,6.44,7.2,29200
CSTB2101,20210419,2.96,3.08,2.96,3.08,202800
CSTB2102,20210419,6.0,6.48,6.0,6.45,48000
CSTB2103,20210419,3.5,3.9,3.35,3.8,512200
CTCB2012,20210419,19.8,20.41,18.69,20.1,585000
CTCB2013,20210419,17.7,18.49,17.59,18.49,49600
CTCB2101,20210419,13.65,15.0,13.0,14.5,123300
CTCB2102,20210419,5.0,5.3,4.7,5.3,341000
CTCB2103,20210419,5.5,5.7,5.32,5.7,354800
CVPB2011,20210419,12.47,12.72,12.47,12.72,21600
CVPB2015,20210419,23.25,24.23,23.1,24.23,73900
CVPB2016,20210419,22.04,22.04,21.5,21.5,267400
CVPB2101,20210419,7.79,7.79,6.73,7.1,136500
CVPB2102,20210419,6.6,7.5,6.6,7.3,106900
CVPB2103,20210419,7.53,7.8,7.21,7.5,79600
VPB,20210416,49.5,50.0,48.5,48.95,7968700
VIB,20210416,51.8,51.9,50.5,51.0,367600
VCB,20210416,97.3,98.5,96.0,96.3,1515900
TPB,20210416,28.4,28.5,27.45,27.7,9357800
TCB,20210416,40.8,41.2,39.6,40.45,15488700
SSB,20210416,27.0,27.3,26.5,27.3,574400
STB,20210416,22.2,22.8,21.8,22.1,41485000
MSB,20210416,22.25,22.55,21.7,22.15,4800500
OCB,20210416,24.7,24.75,23.8,24.0,5066100
LPB,20210416,18.65,19.5,18.55,18.95,21676500
MBB,20210416,30.4,30.65,29.8,30.2,17708300
HDB,20210416,27.2,27.4,26.5,26.65,4639500
EIB,20210416,25.8,26.7,25.15,26.2,1409900
CTG,20210416,42.4,43.2,40.8,42.0,21441800
ACB,20210416,33.8,34.05,32.7,33.1,8403400
BID,20210416,42.85,43.5,41.85,42.0,4667300
CHDB2007,20210416,3.52,3.52,3.2,3.35,321800
CHDB2008,20210416,2.21,2.22,2.01,2.22,387000
CHDB2101,20210416,1.99,2.05,1.95,1.98,54900
CMBB2010,20210416,14.7,15.0,14.2,14.48,460200
CMBB2101,20210416,4.1,4.1,3.99,4.05,209500
CSTB2007,20210416,5.68,5.89,5.45,5.6,344900
CSTB2010,20210416,5.39,5.5,5.1,5.24,402500
CSTB2014,20210416,10.35,10.86,10.0,10.3,249600
CSTB2016,20210416,4.13,4.33,3.85,4.07,318400
CSTB2017,20210416,7.1,7.4,6.5,6.8,46800
CSTB2101,20210416,3.01,3.01,2.9,2.96,55300
CSTB2102,20210416,6.2,6.7,5.9,6.31,147800
CSTB2103,20210416,3.5,3.7,3.3,3.5,349400
CTCB2012,20210416,19.43,19.8,18.2,19.0,436200
CTCB2013,20210416,17.93,17.93,16.71,17.2,50500
CTCB2101,20210416,16.0,16.0,12.7,13.5,560500
CTCB2102,20210416,5.13,5.13,4.6,4.77,261900
CTCB2103,20210416,5.49,5.5,5.3,5.36,330700
CVPB2011,20210416,12.99,13.0,12.45,12.45,13400
CVPB2015,20210416,24.31,24.51,23.41,23.41,37400
CVPB2016,20210416,23.0,23.0,22.11,22.11,117700
CVPB2101,20210416,7.27,7.29,6.87,6.9,106700
CVPB2102,20210416,7.46,7.5,6.8,7.0,109200
CVPB2103,20210416,7.26,7.8,7.25,7.34,83600
VPB,20210415,50.1,50.9,49.6,50.0,8588700
VIB,20210415,52.4,53.0,51.4,51.9,708300
VCB,20210415,99.8,99.8,96.8,97.5,2152800
TPB,20210415,29.65,29.7,28.8,28.8,5927900
TCB,20210415,41.95,41.95,40.9,40.9,14745100
SSB,20210415,26.4,27.0,25.5,27.0,1409400
STB,20210415,23.0,23.0,22.2,22.35,36947400
OCB,20210415,25.5,25.65,24.9,24.9,4195500
LPB,20210415,18.5,18.8,18.4,18.55,13424200
MBB,20210415,31.25,31.25,30.55,30.6,18900600
MSB,20210415,22.9,22.9,22.15,22.6,4711500
HDB,20210415,27.9,27.9,27.35,27.35,4656800
EIB,20210415,25.25,26.5,24.95,25.8,1333600
CTG,20210415,42.9,43.0,42.0,42.2,13938300
ACB,20210415,34.65,34.7,33.8,33.85,9686700
BID,20210415,44.1,44.2,43.0,43.05,3705100
CHDB2007,20210415,3.65,3.65,3.5,3.52,447400
CHDB2008,20210415,2.46,2.46,2.3,2.39,67300
CHDB2101,20210415,1.9,2.1,1.9,2.07,92700
CMBB2010,20210415,15.94,15.94,14.8,15.04,140300
CMBB2101,20210415,4.12,4.13,4.0,4.1,339500
CSTB2007,20210415,5.99,5.99,5.67,5.73,518700
CSTB2010,20210415,5.53,5.61,5.4,5.4,423900
CSTB2014,20210415,11.0,11.13,10.6,10.6,136900
CSTB2016,20210415,4.41,4.41,4.08,4.13,184600
CSTB2017,20210415,8.4,8.4,7.0,7.3,130000
CSTB2101,20210415,3.09,3.2,2.78,3.01,180800
CSTB2102,20210415,6.5,6.71,6.2,6.35,102700
CSTB2103,20210415,3.65,3.65,3.39,3.5,486500
CTCB2012,20210415,20.3,20.3,19.67,19.79,563100
CTCB2013,20210415,18.75,18.75,18.16,18.22,16700
CTCB2101,20210415,14.6,14.6,13.8,14.3,112100
CTCB2102,20210415,5.14,5.14,4.9,5.13,128600
CTCB2103,20210415,5.69,5.69,5.4,5.49,254800
CVPB2011,20210415,13.14,13.14,13.0,13.0,7700
CVPB2015,20210415,25.4,25.4,24.27,24.5,29900
CVPB2016,20210415,24.0,24.0,23.0,23.0,2700
CVPB2101,20210415,7.28,7.4,7.0,7.31,223900
CVPB2102,20210415,7.49,7.6,7.25,7.5,68200
CVPB2103,20210415,7.53,7.85,7.5,7.8,120400
VPB,20210414,50.0,50.2,49.0,50.1,8429500
VIB,20210414,51.6,52.8,51.0,52.3,746000
VCB,20210414,97.3,98.7,96.9,98.7,1336800
TPB,20210414,29.45,29.75,29.0,29.65,4211400
TCB,20210414,41.1,41.95,40.9,41.8,9753300
SSB,20210414,27.0,27.25,26.8,26.8,579800
STB,20210414,22.5,22.95,22.2,22.9,35105800
OCB,20210414,25.05,25.45,25.0,25.35,3874400
LPB,20210414,18.05,18.6,17.8,18.45,16924100
MBB,20210414,30.8,31.35,30.6,31.25,15096700
HDB,20210414,27.65,27.9,27.35,27.9,2954300
EIB,20210414,23.0,25.25,23.0,25.25,1736100
CTG,20210414,41.9,43.0,41.5,42.75,14310200
ACB,20210414,34.3,34.75,34.15,34.6,5073300
BID,20210414,43.5,44.3,43.0,44.0,2839300
CHDB2007,20210414,3.54,3.66,3.54,3.65,281300
CHDB2008,20210414,2.38,2.5,2.3,2.46,165000
CHDB2101,20210414,1.88,2.09,1.88,2.08,115700
CMBB2010,20210414,15.03,15.65,14.9,15.56,177000
CMBB2101,20210414,4.06,4.12,4.0,4.12,348900
CSTB2007,20210414,5.75,6.01,5.67,5.96,505300
CSTB2010,20210414,5.5,5.8,5.21,5.8,602700
CSTB2014,20210414,10.7,11.13,10.46,11.13,297800
CSTB2016,20210414,4.29,4.4,4.07,4.36,304000
CSTB2017,20210414,7.1,7.6,7.1,7.5,58600
CSTB2101,20210414,2.96,3.11,2.9,3.09,154500
CSTB2102,20210414,6.2,6.8,6.15,6.75,116700
CSTB2103,20210414,3.44,3.63,3.41,3.63,529500
CTCB2012,20210414,19.81,20.6,19.59,20.37,381200
CTCB2013,20210414,18.22,18.8,18.22,18.8,16200
CTCB2101,20210414,14.0,14.6,13.8,14.6,76800
CTCB2102,20210414,4.83,5.15,4.82,5.14,178600
CTCB2103,20210414,5.41,5.64,5.0,5.64,268300
CVPB2011,20210414,12.92,12.92,12.92,12.92,7000
CVPB2015,20210414,24.6,24.92,24.3,24.92,12400
CVPB2016,20210414,23.26,23.26,22.77,23.19,13300
CVPB2101,20210414,7.0,7.28,6.02,7.28,255100
CVPB2102,20210414,7.4,7.49,6.0,7.49,47900
CVPB2103,20210414,7.42,7.6,7.41,7.53,190800
MSB,20210414,22.6,22.9,22.3,22.9,4611600
VPB,20210413,50.0,50.5,49.05,49.7,8737300
VIB,20210413,53.0,53.3,51.8,52.0,659400
VCB,20210413,100.0,100.0,97.5,97.5,1670900
TPB,20210413,29.35,30.7,29.3,29.6,13381000
SSB,20210413,27.1,27.5,27.1,27.3,433600
STB,20210413,23.45,23.55,22.6,22.7,46627800
TCB,20210413,42.5,42.5,41.5,41.6,15104100
OCB,20210413,24.85,25.8,24.85,25.05,9139600
LPB,20210413,19.05,19.1,18.3,18.4,12538900
MBB,20210413,31.8,31.8,30.9,31.1,22558600
MSB,20210413,23.3,23.3,22.5,22.75,5651300
HDB,20210413,28.3,28.3,27.5,27.65,5844900
EIB,20210413,24.1,24.6,23.5,23.6,1810800
CTG,20210413,43.5,43.5,42.0,42.05,15121500
BID,20210413,45.0,45.1,43.5,43.65,3952000
ACB,20210413,35.35,35.5,34.4,34.6,8736000
CHDB2007,20210413,3.67,3.76,3.57,3.71,463100
CHDB2008,20210413,2.48,2.55,2.45,2.47,471600
CHDB2101,20210413,2.1,2.12,2.07,2.07,118000
CMBB2010,20210413,16.15,16.15,15.3,15.5,148700
CMBB2101,20210413,4.2,4.2,4.0,4.06,346600
CSTB2007,20210413,6.6,6.6,5.9,5.95,443900
CSTB2010,20210413,6.15,6.15,5.4,5.8,561200
CSTB2014,20210413,11.82,11.82,10.91,10.91,434400
CSTB2016,20210413,5.2,5.2,4.29,4.29,181400
CSTB2017,20210413,8.35,8.35,7.4,7.4,128000
CSTB2101,20210413,3.2,3.2,2.96,2.96,110000
CSTB2102,20210413,6.85,6.85,6.1,6.5,67400
CSTB2103,20210413,3.66,3.8,3.34,3.45,372400
CTCB2012,20210413,21.4,21.4,20.15,20.15,182900
CTCB2013,20210413,19.38,19.6,18.75,18.81,29200
CTCB2101,20210413,15.0,15.0,14.3,14.3,121900
CTCB2102,20210413,5.18,5.2,5.01,5.05,151600
CTCB2103,20210413,5.5,5.65,5.4,5.41,337200
CVPB2011,20210413,13.0,13.1,12.62,12.92,5600
CVPB2015,20210413,23.96,25.13,23.96,24.6,11400
CVPB2016,20210413,22.36,23.61,22.36,23.61,9000
CVPB2101,20210413,6.5,7.34,6.5,7.0,270400
CVPB2102,20210413,7.1,7.7,7.1,7.4,126900
CVPB2103,20210413,7.13,7.75,7.13,7.41,205900
VPB,20210412,47.5,49.35,47.5,49.0,12507000
VCB,20210412,98.5,99.2,97.4,98.9,2670100
VIB,20210412,50.7,53.1,50.7,53.0,436400
TPB,20210412,29.1,29.15,28.8,29.15,7405300
TCB,20210412,42.0,42.3,41.6,42.15,14990200
SSB,20210412,27.3,27.7,27.0,27.7,846900
STB,20210412,23.0,23.85,22.75,23.45,49313400
MSB,20210412,22.1,23.3,21.85,23.3,10339600
OCB,20210412,24.7,24.85,24.55,24.75,4041300
LPB,20210412,18.25,18.9,18.2,18.85,13377800
MBB,20210412,31.6,31.75,31.35,31.65,16624100
HDB,20210412,28.1,28.1,27.0,27.9,9500100
EIB,20210412,22.5,23.4,22.45,23.4,1582900
CTG,20210412,42.6,43.3,42.45,43.2,13503200
ACB,20210412,34.6,35.2,34.45,35.15,12513500
BID,20210412,44.5,45.3,44.1,44.75,5149300
CHDB2007,20210412,3.7,3.71,3.47,3.67,491200
CHDB2008,20210412,2.5,2.5,2.29,2.48,349000
CHDB2101,20210412,1.9,2.09,1.85,2.09,144100
CMBB2010,20210412,15.71,16.05,15.7,15.96,91400
CMBB2101,20210412,4.15,4.16,4.08,4.14,398500
CSTB2007,20210412,5.95,6.6,5.92,6.3,646700
CSTB2010,20210412,5.75,5.98,5.45,5.85,649600
CSTB2014,20210412,11.11,12.0,10.96,11.82,692700
CSTB2016,20210412,4.29,4.88,4.29,4.74,301800
CSTB2017,20210412,7.6,8.4,7.5,8.4,222800
CSTB2101,20210412,3.0,3.24,2.93,3.2,348800
CSTB2102,20210412,5.55,6.9,5.55,6.8,184600
CSTB2103,20210412,3.39,3.75,3.3,3.63,645900
CTCB2012,20210412,20.58,20.96,20.3,20.69,139100
CTCB2013,20210412,18.86,19.4,18.82,19.2,28000
CTCB2101,20210412,14.0,14.8,14.0,14.6,48700
CTCB2102,20210412,5.02,5.2,4.9,5.17,185000
CTCB2103,20210412,5.42,5.51,5.4,5.5,294400
CVPB2011,20210412,12.0,12.6,12.0,12.55,19400
CVPB2015,20210412,22.52,24.16,22.48,23.96,72600
CVPB2016,20210412,20.91,22.15,20.91,22.15,1700
CVPB2101,20210412,5.7,6.26,5.66,6.25,279800
CVPB2102,20210412,6.2,7.1,6.2,7.1,107500
CVPB2103,20210412,6.39,7.25,6.39,7.13,177200
VPB,20210409,46.7,47.65,46.3,47.2,6145000
VCB,20210409,99.5,99.5,97.5,97.5,2101700
VIB,20210409,50.7,50.8,49.95,50.7,1408300
TPB,20210409,28.95,29.0,28.6,28.8,2837100
STB,20210409,22.2,22.9,22.2,22.7,25317200
TCB,20210409,41.7,42.0,41.5,41.6,8022500
SSB,20210409,27.0,27.7,27.0,27.7,955900
OCB,20210409,24.8,24.9,24.65,24.7,2413600
MSB,20210409,22.05,22.05,21.75,22.05,6552600
LPB,20210409,17.5,18.4,17.4,18.15,18480900
MBB,20210409,31.1,31.45,30.85,31.35,16904800
HDB,20210409,28.15,28.15,27.9,28.0,3890400
EIB,20210409,22.8,22.8,22.3,22.45,1124000
CTG,20210409,42.5,42.7,42.3,42.5,14650600
ACB,20210409,34.3,34.6,34.2,34.4,5401500
BID,20210409,44.7,44.8,44.05,44.3,4489700
CHDB2007,20210409,3.7,3.7,3.64,3.69,232500
CHDB2008,20210409,2.5,2.55,2.44,2.5,294200
CHDB2101,20210409,1.91,1.91,1.88,1.9,123400
CMBB2010,20210409,15.63,15.75,15.2,15.71,306000
CMBB2101,20210409,4.05,4.15,3.9,4.08,321400
CSTB2007,20210409,5.94,5.96,5.63,5.9,191600
CSTB2010,20210409,5.2,5.49,5.18,5.39,305200
CSTB2014,20210409,10.65,11.0,10.55,10.95,167300
CSTB2016,20210409,4.1,4.37,4.1,4.29,176100
CSTB2017,20210409,7.49,7.5,7.2,7.41,49600
CSTB2101,20210409,2.78,3.05,2.78,2.96,116800
CSTB2102,20210409,5.82,6.29,5.82,6.17,99200
CSTB2103,20210409,3.28,3.4,3.27,3.39,469800
CTCB2012,20210409,20.6,20.67,20.17,20.36,78000
CTCB2013,20210409,18.06,18.91,18.06,18.86,32300
CTCB2101,20210409,14.2,14.2,13.8,13.9,96000
CTCB2102,20210409,4.99,5.02,4.9,5.0,152500
CTCB2103,20210409,5.02,5.47,5.02,5.42,186300
CVPB2011,20210409,11.23,11.8,9.99,11.58,95500
CVPB2015,20210409,21.34,22.35,21.34,21.91,95100
CVPB2016,20210409,19.8,20.65,19.8,20.25,67000
CVPB2101,20210409,5.46,5.78,5.35,5.7,128800
CVPB2102,20210409,6.0,6.25,6.0,6.2,76200
CVPB2103,20210409,6.02,6.43,5.9,6.39,210900
VPB,20210408,47.0,47.2,46.1,46.7,4285000
VCB,20210408,101.9,101.9,99.5,100.0,1575400
VIB,20210408,53.3,53.3,50.0,51.2,1307400
TPB,20210408,29.0,29.15,28.7,28.9,4230200
TCB,20210408,42.4,42.45,41.7,41.95,7518800
STB,20210408,22.5,22.6,22.0,22.2,26665400
SSB,20210408,27.8,27.8,27.5,27.6,911300
OCB,20210408,25.0,25.0,24.5,24.75,3409600
MBB,20210408,31.8,31.8,31.0,31.2,22368700
MSB,20210408,22.7,22.75,22.0,22.05,4592700
LPB,20210408,17.5,17.6,17.3,17.5,10415900
HDB,20210408,28.0,28.2,27.9,28.05,5669400
EIB,20210408,23.05,23.1,22.65,22.8,682800
CTG,20210408,43.0,43.3,42.6,42.6,11652100
BID,20210408,45.7,45.8,44.7,44.8,4412400
ACB,20210408,34.35,34.7,34.2,34.4,4687900
CHDB2007,20210408,3.6,3.71,3.6,3.68,657000
CHDB2008,20210408,2.45,2.55,2.42,2.5,472400
CHDB2101,20210408,1.9,1.9,1.88,1.88,127700
CMBB2010,20210408,16.08,16.08,15.57,15.63,293500
CMBB2101,20210408,4.19,4.19,4.0,4.1,398700
CSTB2007,20210408,5.66,5.78,5.52,5.63,535500
CSTB2010,20210408,5.2,5.31,5.07,5.19,253600
CSTB2014,20210408,10.33,10.87,10.33,10.57,383100
CSTB2016,20210408,4.07,4.2,3.94,4.07,317600
CSTB2017,20210408,7.1,7.4,6.7,7.11,71600
CSTB2101,20210408,2.8,3.0,2.75,2.9,149000
CSTB2102,20210408,6.0,6.2,5.68,6.18,87300
CSTB2103,20210408,3.25,3.3,3.18,3.28,478400
CTCB2012,20210408,20.97,21.05,20.5,20.6,65200
CTCB2013,20210408,19.5,19.52,19.1,19.1,4800
CTCB2101,20210408,14.2,14.4,14.0,14.2,40400
CTCB2102,20210408,4.99,5.11,4.99,5.0,241200
CTCB2103,20210408,5.5,5.54,5.3,5.5,85800
CVPB2011,20210408,11.32,11.35,11.26,11.35,4700
CVPB2015,20210408,21.2,21.7,21.2,21.48,21300
CVPB2016,20210408,20.0,20.0,19.9,19.98,80900
CVPB2101,20210408,5.58,5.58,5.33,5.39,127800
CVPB2102,20210408,6.1,6.1,5.9,6.0,162700
CVPB2103,20210408,6.3,6.3,6.02,6.02,91800
VPB,20210407,46.0,47.0,46.0,46.5,4134200
VIB,20210407,53.6,53.6,52.9,53.3,621500
VCB,20210407,101.0,102.0,100.4,101.9,1182700
TPB,20210407,28.15,29.2,28.1,28.8,8769900
TCB,20210407,42.0,42.55,41.8,42.2,7728400
SSB,20210407,28.0,28.0,27.5,28.0,1208100
STB,20210407,22.3,22.6,22.1,22.3,51625800
MSB,20210407,22.7,22.7,22.4,22.7,4460400
OCB,20210407,24.5,24.65,24.3,24.55,2848300
LPB,20210407,17.55,17.55,17.3,17.45,8942700
MBB,20210407,31.5,32.05,31.45,31.8,23620400
HDB,20210407,27.65,27.8,27.4,27.75,4333600
EIB,20210407,23.15,23.15,22.5,23.0,1277500
CTG,20210407,43.0,43.8,42.8,43.0,12150700
ACB,20210407,34.5,34.7,34.3,34.4,6400900
BID,20210407,45.7,45.75,45.35,45.55,2609000
CHDB2007,20210407,3.56,3.6,3.49,3.58,266900
CHDB2008,20210407,2.35,2.45,2.28,2.45,467400
CHDB2101,20210407,1.9,1.9,1.88,1.9,15100
CMBB2010,20210407,15.8,16.1,15.7,16.08,531000
CMBB2101,20210407,4.22,4.22,4.12,4.19,411200
CSTB2007,20210407,5.56,5.89,5.56,5.66,522000
CSTB2010,20210407,5.48,5.48,4.8,5.2,696900
CSTB2014,20210407,10.05,10.8,10.05,10.33,1324100
CSTB2016,20210407,4.01,4.3,4.01,4.07,182400
CSTB2017,20210407,7.26,7.27,6.9,7.1,107400
CSTB2101,20210407,3.0,3.0,2.75,2.78,198100
CSTB2102,20210407,6.0,6.0,5.1,6.0,135300
CSTB2103,20210407,3.35,3.35,3.17,3.23,351000
CTCB2012,20210407,20.7,21.3,20.6,20.97,635300
CTCB2013,20210407,19.4,19.5,19.4,19.47,12100
CTCB2101,20210407,13.92,14.59,13.92,14.5,25100
CTCB2102,20210407,5.0,5.0,4.9,4.99,117700
CTCB2103,20210407,5.79,5.79,5.5,5.5,101000
CVPB2011,20210407,11.3,11.41,11.26,11.26,8600
CVPB2013,20210407,19.0,19.2,18.9,19.0,8800
CVPB2015,20210407,21.2,21.8,21.01,21.2,10400
CVPB2016,20210407,21.0,21.0,19.75,19.75,71600
CVPB2101,20210407,5.15,5.3,5.15,5.25,57300
CVPB2102,20210407,5.9,5.9,5.04,5.9,58400
CVPB2103,20210407,5.8,6.15,5.78,6.05,74800
VPB,20210406,46.45,47.0,45.0,46.45,3766400
VCB,20210406,102.0,102.5,100.5,101.9,2243200
VIB,20210406,53.1,55.5,53.1,53.6,892000
TPB,20210406,28.35,28.4,28.0,28.15,5698500
TCB,20210406,41.45,42.5,41.1,42.2,14957000
MBB,20210406,30.7,31.45,30.5,31.4,33236600
MSB,20210406,22.8,22.85,22.55,22.75,6024100
OCB,20210406,24.5,24.85,24.45,24.5,3630600
LPB,20210406,17.65,17.7,17.45,17.45,9843200
HDB,20210406,27.65,27.8,27.2,27.6,5343500
EIB,20210406,22.6,23.2,22.2,23.1,2478600
CTG,20210406,41.95,43.55,41.6,43.0,22526100
BID,20210406,45.4,46.25,45.05,45.75,4113800
ACB,20210406,34.7,34.95,34.15,34.75,7565000
CHDB2007,20210406,3.57,3.59,3.52,3.56,415900
CHDB2008,20210406,2.49,2.49,2.28,2.4,309800
CHDB2101,20210406,1.92,1.92,1.9,1.9,35400
CMBB2010,20210406,14.7,15.8,14.7,15.7,456600
CMBB2101,20210406,3.72,4.0,3.72,3.94,644700
CSTB2007,20210406,5.88,6.09,5.83,5.91,455100
CSTB2010,20210406,5.41,5.68,5.38,5.48,291900
CSTB2014,20210406,11.0,11.25,10.5,10.94,250300
CSTB2016,20210406,4.54,4.54,4.25,4.32,472500
CSTB2017,20210406,7.8,7.9,7.2,7.55,126300
CSTB2101,20210406,3.11,3.11,2.94,3.0,123200
CSTB2102,20210406,6.1,6.3,5.99,6.19,175200
CSTB2103,20210406,3.29,3.35,3.0,3.35,546400
CTCB2012,20210406,20.05,21.29,20.0,20.7,150000
CTCB2013,20210406,18.47,19.49,18.32,19.23,120000
CTCB2101,20210406,13.5,14.3,13.5,13.92,108200
CTCB2102,20210406,4.95,5.0,4.7,4.96,214400
CTCB2103,20210406,5.6,5.8,5.5,5.6,152600
CVPB2011,20210406,11.3,11.4,11.11,11.11,64000
CVPB2013,20210406,21.0,21.0,18.6,18.6,26100
CVPB2015,20210406,20.95,21.69,20.95,21.15,58900
CVPB2016,20210406,19.16,19.73,19.16,19.53,27000
CVPB2101,20210406,5.1,5.2,5.0,5.15,142900
CVPB2102,20210406,5.7,6.0,5.66,5.9,174200
CVPB2103,20210406,5.85,6.2,5.8,6.0,203100
SSB,20210406,28.0,28.0,27.3,28.0,1881700
STB,20210406,22.6,23.2,22.6,22.75,42374000
SSB,20210405,28.05,28.15,27.4,28.1,1564100
STB,20210405,23.0,23.3,22.6,23.15,46163800
OCB,20210405,24.9,25.0,24.45,24.6,3062000
LPB,20210405,17.65,17.9,17.35,17.65,11177200
MBB,20210405,30.25,30.4,29.8,30.4,26102300
HDB,20210405,28.3,28.3,27.55,27.65,5898700
EIB,20210405,21.0,21.8,21.0,21.8,1780700
CTG,20210405,42.0,42.3,41.5,42.0,16216000
ACB,20210405,35.3,35.3,34.6,34.75,7433500
BID,20210405,45.7,45.9,45.1,45.55,5969400
CHDB2007,20210405,3.44,3.75,3.44,3.65,841900
CHDB2008,20210405,2.4,2.5,2.32,2.4,324900
CHDB2101,20210405,1.86,1.95,1.86,1.92,78000
CMBB2010,20210405,14.5,14.75,13.9,14.4,353500
CMBB2101,20210405,3.76,3.82,3.65,3.72,215800
CSTB2007,20210405,5.9,6.16,5.86,6.14,595900
CSTB2010,20210405,5.41,5.7,5.4,5.68,602000
CSTB2014,20210405,11.7,11.7,10.9,11.31,455400
CSTB2016,20210405,4.8,4.8,4.27,4.54,618800
CSTB2017,20210405,7.45,7.99,7.45,7.9,337000
CSTB2101,20210405,3.1,3.12,3.05,3.11,167200
CSTB2102,20210405,5.58,6.3,5.55,6.1,234700
CSTB2103,20210405,3.29,3.4,3.28,3.39,906600
CTCB2012,20210405,20.2,20.45,19.9,20.05,72900
CTCB2013,20210405,18.77,18.8,18.38,18.47,42000
CTCB2101,20210405,13.5,13.8,13.5,13.5,169300
CTCB2102,20210405,5.0,5.0,4.7,4.8,105600
CTCB2103,20210405,5.65,5.8,5.55,5.63,144500
CVPB2011,20210405,11.21,11.3,11.21,11.3,700
CVPB2013,20210405,18.2,19.0,18.2,19.0,1900
CVPB2015,20210405,20.93,21.31,20.74,21.23,33500
CVPB2016,20210405,19.42,19.58,19.17,19.57,46100
CVPB2101,20210405,5.03,5.1,5.0,5.06,89600
CVPB2102,20210405,5.5,5.7,5.4,5.66,117700
CVPB2103,20210405,5.94,6.0,5.83,5.85,204800
MSB,20210405,22.65,22.8,22.5,22.8,6408700
TCB,20210405,41.7,41.8,41.15,41.5,11025600
TPB,20210405,28.65,28.7,28.25,28.4,3468800
VCB,20210405,100.0,102.8,98.6,102.0,3592400
VIB,20210405,53.5,53.5,51.0,53.3,1321700
VPB,20210405,46.8,46.8,45.9,46.45,3162000
VPB,20210402,46.4,46.6,45.85,46.2,2400100
VCB,20210402,97.5,98.5,96.9,97.8,2277500
VIB,20210402,49.9,51.2,49.5,50.7,641300
TPB,20210402,28.5,28.8,28.2,28.3,3197300
TCB,20210402,41.6,41.8,41.2,41.25,8261300
SSB,20210402,27.7,28.25,27.7,28.25,2990700
MBB,20210402,29.6,29.7,29.25,29.6,17890400
MSB,20210402,22.3,22.6,21.8,22.6,8235700
OCB,20210402,24.6,24.95,24.6,24.7,3447300
LPB,20210402,17.4,17.8,17.4,17.6,13331100
HDB,20210402,27.05,27.4,27.0,27.25,6221100
